Project,Respondent ID,Start Date,End Date,IP Address,Year Established,Industry
SSV2024,1.18E+11,9/29/2023,9/29/2023,76.80.207.154,1995,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/29/2023,9/29/2023,75.149.209.209,2010,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/26/2023,9/29/2023,12.164.168.194,1997,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/29/2023,9/29/2023,107.197.176.193,2019,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/29/2023,9/29/2023,76.87.246.200,1987,Transportation/Logistics
SSV2024,1.18E+11,9/29/2023,9/29/2023,76.81.163.210,1985,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/29/2023,9/29/2023,210.141.159.138,2017,Energy
SSV2024,1.18E+11,9/27/2023,9/29/2023,76.53.81.58,1986,Trading Company
SSV2024,1.18E+11,9/28/2023,9/29/2023,199.167.123.83,2001,Trading Company
SSV2024,1.18E+11,9/29/2023,9/29/2023,76.175.15.54,2012,Media/Advertising
SSV2024,1.18E+11,9/29/2023,9/29/2023,64.60.58.5,1989,Retail
SSV2024,1.18E+11,9/27/2023,9/29/2023,12.66.14.30,1983,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/29/2023,9/29/2023,72.48.168.250,2007,Retail
SSV2024,1.18E+11,9/29/2023,9/29/2023,72.49.161.80,1995,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/29/2023,9/29/2023,96.77.6.209,2003,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/15/2023,9/29/2023,208.127.68.194,1988,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/29/2023,165.225.33.92,1973,Real Estate & Construction
SSV2024,1.18E+11,9/28/2023,9/29/2023,66.51.147.214,1976,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/28/2023,9/28/2023,114.156.136.207,2016,Retail
SSV2024,1.18E+11,9/14/2023,9/28/2023,98.0.195.218,1905,Other
SSV2024,1.18E+11,9/28/2023,9/28/2023,98.226.209.127,1982,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/28/2023,9/28/2023,40.133.41.66,1989,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/28/2023,9/28/2023,12.91.204.102,1998,Trading Company
SSV2024,1.18E+11,9/28/2023,9/28/2023,65.244.6.46,2017,Trading Company
SSV2024,1.18E+11,9/22/2023,9/28/2023,4.30.177.174,1972,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/28/2023,9/28/2023,23.25.31.1,1970,Trading Company
SSV2024,1.18E+11,9/28/2023,9/28/2023,24.173.244.222,2000,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/28/2023,9/28/2023,96.28.7.85,2007,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/28/2023,9/28/2023,71.198.12.23,1988,Transportation/Logistics
SSV2024,1.18E+11,9/28/2023,9/28/2023,99.85.54.249,1987,Real Estate & Construction
SSV2024,1.18E+11,9/28/2023,9/28/2023,98.6.216.60,1978,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/28/2023,9/28/2023,63.205.197.41,1996,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/26/2023,9/28/2023,165.225.38.120,1955,Government
SSV2024,1.18E+11,9/28/2023,9/28/2023,66.159.192.249,2018,Real Estate & Construction
SSV2024,1.18E+11,9/27/2023,9/27/2023,71.246.100.183,1939,Other
SSV2024,1.18E+11,9/27/2023,9/27/2023,68.225.20.178,2020,Health Care
SSV2024,1.18E+11,9/13/2023,9/27/2023,50.250.229.33,1990,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/27/2023,9/27/2023,172.56.184.107,2004,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/27/2023,9/27/2023,209.137.144.226,2009,Transportation/Logistics
SSV2024,1.18E+11,9/11/2023,9/27/2023,50.30.119.146,1987,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/27/2023,9/27/2023,216.194.98.1,1973,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/27/2023,9/27/2023,198.24.115.50,1997,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/27/2023,9/27/2023,209.137.144.158,1973,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/25/2023,9/27/2023,50.239.75.51,2002,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/26/2023,9/27/2023,205.145.18.5,1973,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/26/2023,9/26/2023,149.19.49.98,1983,Government
SSV2024,1.18E+11,9/26/2023,9/26/2023,165.225.8.120,1996,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/26/2023,9/26/2023,107.209.56.177,1972,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/26/2023,9/26/2023,12.220.252.74,1976,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/26/2023,9/26/2023,172.1.112.210,1989,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/26/2023,9/26/2023,163.116.137.118,1998,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/26/2023,9/26/2023,100.12.67.235,1955,Trading Company
SSV2024,1.18E+11,9/26/2023,9/26/2023,24.123.142.178,1970,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/26/2023,9/26/2023,12.238.148.122,1989,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/26/2023,9/26/2023,70.123.0.107,2006,Other
SSV2024,1.18E+11,9/22/2023,9/26/2023,12.218.145.194,1985,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/26/2023,9/26/2023,47.181.87.154,1991,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/26/2023,9/26/2023,104.28.124.180,2014,Other
SSV2024,1.18E+11,9/26/2023,9/26/2023,113.38.214.186,1999,Trading Company
SSV2024,1.18E+11,9/26/2023,9/26/2023,66.161.164.245,1987,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/26/2023,9/26/2023,3.227.229.208,1981,NPO
SSV2024,1.18E+11,9/26/2023,9/26/2023,216.83.80.25,2014,Financials
SSV2024,1.18E+11,9/26/2023,9/26/2023,208.209.215.42,1985,Real Estate & Construction
SSV2024,1.18E+11,9/26/2023,9/26/2023,98.103.164.131,1997,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/26/2023,9/26/2023,38.122.174.34,1983,Consumer Products
SSV2024,1.18E+11,9/25/2023,9/25/2023,60.114.131.41,2015,Media/Advertising
SSV2024,1.18E+11,9/25/2023,9/25/2023,202.12.244.39,2003,IT
SSV2024,1.18E+11,9/25/2023,9/25/2023,192.241.235.20,2007,Commercial Professional Services
SSV2024,1.18E+11,9/25/2023,9/25/2023,70.165.55.250,1998,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/25/2023,9/25/2023,98.0.187.226,1959,Trading Company
SSV2024,1.18E+11,9/25/2023,9/25/2023,12.221.227.210,2001,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/13/2023,9/25/2023,12.146.141.18,2012,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/12/2023,9/25/2023,203.129.125.130,1979,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/25/2023,9/25/2023,99.8.149.169,2004,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/25/2023,9/25/2023,100.38.105.133,1986,Real Estate & Construction
SSV2024,1.18E+11,9/25/2023,9/25/2023,97.78.186.190,1982,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/25/2023,9/25/2023,198.24.69.34,1970,Trading Company
SSV2024,1.18E+11,9/22/2023,9/25/2023,207.140.128.42,1997,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/25/2023,9/25/2023,136.52.118.165,2018,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/25/2023,9/25/2023,38.140.103.122,2019,Energy
SSV2024,1.18E+11,9/25/2023,9/25/2023,50.211.215.174,1985,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/25/2023,9/25/2023,97.78.121.22,1996,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/6/2023,9/25/2023,68.225.130.50,2000,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/25/2023,9/25/2023,206.132.164.42,1998,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/25/2023,9/25/2023,69.119.147.106,2018,Energy
SSV2024,1.18E+11,9/25/2023,9/25/2023,203.140.69.26,2001,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/7/2023,9/25/2023,136.226.53.35,2002,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/24/2023,9/24/2023,73.206.200.13,2013,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/24/2023,9/24/2023,38.15.196.32,2020,Other
SSV2024,1.18E+11,9/23/2023,9/23/2023,122.210.210.90,2019,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,12.18.220.97,2007,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,66.91.158.58,2023,Real Estate & Construction
SSV2024,1.18E+11,9/22/2023,9/22/2023,98.189.85.50,2001,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,216.98.119.148,1976,Financials
SSV2024,1.18E+11,9/22/2023,9/22/2023,68.49.107.164,1986,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,74.64.161.248,1988,Financials
SSV2024,1.18E+11,9/22/2023,9/22/2023,73.93.20.200,2010,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,47.180.147.134,1989,Other
SSV2024,1.18E+11,9/22/2023,9/22/2023,50.252.44.249,1996,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,70.173.118.177,2014,IT
SSV2024,1.18E+11,9/19/2023,9/22/2023,209.137.144.158,1957,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,23.24.98.242,1996,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/13/2023,9/22/2023,98.153.156.210,2003,Consumer Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,12.20.188.210,1969,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,108.199.25.65,2005,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,136.226.67.117,1985,Transportation/Logistics
SSV2024,1.18E+11,9/22/2023,9/22/2023,50.79.115.225,1996,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,162.202.210.81,2004,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,3.239.122.166,2020,Financials
SSV2024,1.18E+11,9/22/2023,9/22/2023,42.124.15.11,1987,IT
SSV2024,1.18E+11,9/22/2023,9/22/2023,107.143.137.19,2016,Trading Company
SSV2024,1.18E+11,9/22/2023,9/22/2023,149.20.202.30,1985,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,172.85.28.107,1985,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,71.125.23.60,2008,Other
SSV2024,1.18E+11,9/22/2023,9/22/2023,150.252.243.13,1969,Trading Company
SSV2024,1.18E+11,9/22/2023,9/22/2023,216.98.118.178,1993,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,74.219.77.2,1984,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,4.15.107.214,2023,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,73.36.124.195,2007,Other
SSV2024,1.18E+11,9/22/2023,9/22/2023,68.48.184.95,2012,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,73.211.222.200,1979,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,168.215.57.226,1991,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,4.7.22.218,2005,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,96.28.19.192,2014,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,63.84.64.34,1988,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,61.114.187.164,1984,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,71.194.168.217,1989,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/21/2023,9/22/2023,131.103.23.181,1962,Transportation/Logistics
SSV2024,1.18E+11,9/22/2023,9/22/2023,38.105.241.114,1991,Media/Advertising
SSV2024,1.18E+11,9/22/2023,9/22/2023,206.165.107.153,2013,Other
SSV2024,1.18E+11,9/22/2023,9/22/2023,161.69.57.47,1978,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,15.181.177.162,1967,Trading Company
SSV2024,1.18E+11,9/22/2023,9/22/2023,173.68.125.222,1994,Other
SSV2024,1.18E+11,9/22/2023,9/22/2023,70.158.101.137,2014,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/22/2023,9/22/2023,75.147.244.237,1986,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/22/2023,221.117.22.194,2017,Government
SSV2024,1.18E+11,9/20/2023,9/21/2023,4.53.138.66,2018,Health Care
SSV2024,1.18E+11,9/21/2023,9/21/2023,73.241.172.107,1970,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/21/2023,9/21/2023,68.196.97.233,1970,Trading Company
SSV2024,1.18E+11,9/20/2023,9/21/2023,136.52.119.36,1966,Trading Company
SSV2024,1.18E+11,9/6/2023,9/21/2023,182.165.244.52,2021,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/21/2023,9/21/2023,118.151.149.107,2014,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/13/2023,9/21/2023,107.190.242.134,2017,Retail
SSV2024,1.18E+11,9/21/2023,9/21/2023,64.124.162.234,2018,IT
SSV2024,1.18E+11,9/21/2023,9/21/2023,100.8.235.243,1986,Financials
SSV2024,1.18E+11,9/21/2023,9/21/2023,69.75.190.218,1992,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/21/2023,9/21/2023,97.78.182.150,2012,Trading Company
SSV2024,1.18E+11,9/21/2023,9/21/2023,174.203.5.195,2019,Retail
SSV2024,1.18E+11,9/6/2023,9/21/2023,47.144.181.163,2019,Other
SSV2024,1.18E+11,9/21/2023,9/21/2023,104.247.61.254,2003,Other
SSV2024,1.18E+11,9/21/2023,9/21/2023,69.120.239.82,1970,Other
SSV2024,1.18E+11,9/21/2023,9/21/2023,98.154.21.142,1972,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/7/2023,9/21/2023,173.197.167.250,1973,Transportation/Logistics
SSV2024,1.18E+11,9/18/2023,9/21/2023,136.226.51.90,2013,Consumer Products
SSV2024,1.18E+11,9/21/2023,9/21/2023,73.246.188.135,2002,Trading Company
SSV2024,1.18E+11,9/21/2023,9/21/2023,12.6.68.130,1964,Real Estate & Construction
SSV2024,1.18E+11,9/21/2023,9/21/2023,96.38.82.238,1994,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/21/2023,9/21/2023,38.103.106.82,1980,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/21/2023,9/21/2023,32.132.147.186,2000,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/21/2023,9/21/2023,217.180.202.185,2003,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/21/2023,96.81.198.49,1981,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/21/2023,9/21/2023,67.200.222.122,1980,Energy
SSV2024,1.18E+11,9/21/2023,9/21/2023,4.71.109.6,2015,Consumer Products
SSV2024,1.18E+11,9/21/2023,9/21/2023,158.106.213.50,1991,Other
SSV2024,1.18E+11,9/13/2023,9/21/2023,12.199.206.21,2005,IT
SSV2024,1.18E+11,9/21/2023,9/21/2023,174.243.144.227,2005,Transportation/Logistics
SSV2024,1.18E+11,9/21/2023,9/21/2023,174.62.251.253,2018,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/21/2023,9/21/2023,104.181.146.192,1983,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/21/2023,9/21/2023,24.7.16.232,1980,NPO
SSV2024,1.18E+11,9/18/2023,9/21/2023,108.53.187.31,2011,IT
SSV2024,1.18E+11,9/21/2023,9/21/2023,23.121.201.92,1998,Other
SSV2024,1.18E+11,9/21/2023,9/21/2023,66.231.38.88,1996,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/21/2023,9/21/2023,107.115.227.12,2011,Hospitality
SSV2024,1.18E+11,9/7/2023,9/21/2023,136.226.80.101,2019,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/21/2023,134.215.27.200,2013,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,118.6.113.170,2004,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,211.9.32.73,2023,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,116.82.48.149,2014,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,201.163.114.190,2000,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,104.10.248.35,2003,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,47.180.254.28,2017,Other
SSV2024,1.18E+11,9/20/2023,9/20/2023,104.174.81.207,1982,Trading Company
SSV2024,1.18E+11,9/20/2023,9/20/2023,209.215.2.234,1969,Other
SSV2024,1.18E+11,9/20/2023,9/20/2023,153.143.185.36,1980,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,104.152.233.79,1985,Transportation/Logistics
SSV2024,1.18E+11,9/19/2023,9/20/2023,172.250.238.205,1986,Transportation/Logistics
SSV2024,1.18E+11,9/20/2023,9/20/2023,50.0.200.34,2006,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,184.12.21.194,1996,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,50.47.39.130,1988,Trading Company
SSV2024,1.18E+11,9/20/2023,9/20/2023,24.0.170.162,1978,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,68.174.244.199,2020,Financials
SSV2024,1.18E+11,9/6/2023,9/20/2023,184.183.160.170,2010,Health Care
SSV2024,1.18E+11,9/20/2023,9/20/2023,138.122.98.30,2017,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,76.141.144.164,1973,Trading Company
SSV2024,1.18E+11,9/20/2023,9/20/2023,216.194.108.7,1999,Other
SSV2024,1.18E+11,9/20/2023,9/20/2023,68.98.110.142,1985,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,12.3.205.50,1982,Other
SSV2024,1.18E+11,9/20/2023,9/20/2023,94.87.153.154,1999,Trading Company
SSV2024,1.18E+11,9/20/2023,9/20/2023,45.59.2.42,2022,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,47.156.182.44,1991,Energy
SSV2024,1.18E+11,9/20/2023,9/20/2023,184.75.6.194,1993,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,207.180.142.194,1997,Health Care
SSV2024,1.18E+11,9/20/2023,9/20/2023,162.251.133.42,2013,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,135.84.86.162,2002,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,99.64.161.195,2019,IT
SSV2024,1.18E+11,9/20/2023,9/20/2023,104.7.155.172,1989,Other
SSV2024,1.18E+11,9/20/2023,9/20/2023,73.106.123.46,2015,Real Estate & Construction
SSV2024,1.18E+11,9/20/2023,9/20/2023,66.187.190.210,1990,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,184.75.196.154,2019,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,40.121.93.151,1985,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,50.247.164.117,2014,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,38.94.155.66,1990,Media/Advertising
SSV2024,1.18E+11,9/20/2023,9/20/2023,172.56.105.226,2017,Other
SSV2024,1.18E+11,9/20/2023,9/20/2023,114.150.201.1,1986,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,198.24.255.67,1979,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,74.142.128.150,2015,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,108.29.95.213,1976,Retail
SSV2024,1.18E+11,9/20/2023,9/20/2023,71.183.212.142,1993,Real Estate & Construction
SSV2024,1.18E+11,9/20/2023,9/20/2023,204.2.240.98,2004,Media/Advertising
SSV2024,1.18E+11,9/20/2023,9/20/2023,108.54.94.178,1968,Trading Company
SSV2024,1.18E+11,9/20/2023,9/20/2023,98.227.171.226,2015,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/20/2023,9/20/2023,184.181.100.49,1998,Health Care
SSV2024,1.18E+11,9/20/2023,9/20/2023,50.214.110.73,1956,Trading Company
SSV2024,1.18E+11,9/20/2023,9/20/2023,38.140.97.82,2008,Financials
SSV2024,1.18E+11,9/19/2023,9/20/2023,68.49.45.111,2017,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/19/2023,9/19/2023,114.172.72.38,2018,Trading Company
SSV2024,1.18E+11,9/19/2023,9/19/2023,166.149.7.230,2006,Transportation/Logistics
SSV2024,1.18E+11,9/19/2023,9/19/2023,75.84.31.156,1987,Trading Company
SSV2024,1.18E+11,9/19/2023,9/19/2023,165.225.216.177,2011,IT
SSV2024,1.18E+11,9/19/2023,9/19/2023,107.143.136.80,2019,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/19/2023,9/19/2023,50.247.149.225,2004,Trading Company
SSV2024,1.18E+11,9/19/2023,9/19/2023,98.40.30.54,2015,Trading Company
SSV2024,1.18E+11,9/19/2023,9/19/2023,73.36.127.245,1994,Transportation/Logistics
SSV2024,1.18E+11,9/19/2023,9/19/2023,108.88.173.158,1998,Trading Company
SSV2024,1.18E+11,9/19/2023,9/19/2023,73.171.79.136,2012,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/19/2023,9/19/2023,165.225.58.73,1998,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/19/2023,9/19/2023,50.241.202.121,1983,Trading Company
SSV2024,1.18E+11,9/19/2023,9/19/2023,12.201.24.66,2011,Real Estate & Construction
SSV2024,1.18E+11,9/19/2023,9/19/2023,50.77.163.193,1978,Consumer Products
SSV2024,1.18E+11,9/19/2023,9/19/2023,50.247.141.21,1993,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/19/2023,9/19/2023,98.153.240.242,2003,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/19/2023,9/19/2023,211.0.205.118,1986,Financials
SSV2024,1.18E+11,9/7/2023,9/19/2023,50.47.45.66,1996,Health Care
SSV2024,1.18E+11,9/18/2023,9/18/2023,163.116.208.34,2016,Entertainment
SSV2024,1.18E+11,9/18/2023,9/18/2023,100.12.67.235,1988,Trading Company
SSV2024,1.18E+11,9/18/2023,9/18/2023,211.9.32.76,1996,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/6/2023,9/18/2023,96.72.100.137,2006,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/18/2023,9/18/2023,12.45.170.242,1988,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/18/2023,9/18/2023,65.155.59.74,2019,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/18/2023,9/18/2023,70.88.68.65,1969,Retail
SSV2024,1.18E+11,9/18/2023,9/18/2023,136.226.48.116,2018,Commercial Professional Services
SSV2024,1.18E+11,9/18/2023,9/18/2023,104.162.214.84,2000,Trading Company
SSV2024,1.18E+11,9/18/2023,9/18/2023,66.161.207.235,2001,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/18/2023,9/18/2023,74.93.52.97,1987,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/18/2023,9/18/2023,104.49.127.57,1973,Transportation/Logistics
SSV2024,1.18E+11,9/18/2023,9/18/2023,75.127.143.211,1986,Trading Company
SSV2024,1.18E+11,9/18/2023,9/18/2023,198.24.218.66,1989,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/18/2023,9/18/2023,129.250.204.18,2003,Consumer Products
SSV2024,1.18E+11,9/18/2023,9/18/2023,47.181.157.160,2015,Trading Company
SSV2024,1.18E+11,9/18/2023,9/18/2023,50.84.242.134,2016,Transportation/Logistics
SSV2024,1.18E+11,9/18/2023,9/18/2023,172.58.238.184,2011,Financials
SSV2024,1.18E+11,9/18/2023,9/18/2023,174.210.229.229,2015,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/18/2023,9/18/2023,76.190.108.179,1947,Manufacturing/Industrial Products
SSV2024,1.18E+11,9/6/2023,9/17/2023,50.244.45.141,2013,Manufacturing/Industrial Products
